Wavelength,Sky Blue,Erythrosine,Tatrazine,Berry,Sunflower,Fast Green,Allura Red,Sunset Yellow,Brilliant Blue,Indigo Carmine
300,0.161,0,0.217,0.23,0.335,0,0.114,0,0,0
310,0.148,0,0.26,0.189,0.303,0,0.124,0.016,0,0
320,0.161,0,0.303,0.148,0.271,0,0.134,0.042,0,0
330,0.188,0,0.346,0.12,0.261,0,0.144,0.068,0,0.001
340,0.211,0,0.389,0.101,0.266,0,0.154,0.094,0,0.004
350,0.224,0,0.432,0.088,0.276,0,0.164,0.12,0,0.007
360,0.223,0,0.475,0.078,0.285,0.03,0.174,0.146,0,0.01
370,0.204,0,0.518,0.072,0.303,0.035,0.184,0.172,0,0.013
380,0.173,0,0.561,0.069,0.34,0.04,0.194,0.198,0,0.016
390,0.144,0,0.604,0.07,0.389,0.05,0.204,0.224,0.019,0.019
400,0.13,0,0.647,0.076,0.444,0.056,0.214,0.25,0.042,0.022
410,0.132,0.013,0.69,0.089,0.512,0.061,0.224,0.276,0.065,0.025
420,0.117,0.012,0.733,0.11,0.597,0.066,0.234,0.302,0.042,0.028
430,0.079,0.013,0.74,0.138,0.693,0.06,0.236,0.328,0.016,0.032
440,0.053,0.016,0.709,0.175,0.809,0.047,0.258,0.403,0.005,0.035
450,0.042,0.023,0.64,0.227,0.949,0.033,0.318,0.499,0.004,0.035
460,0.04,0.036,0.515,0.3,1.007,0.023,0.403,0.595,0.004,0.035
470,0.04,0.058,0.384,0.391,0.999,0.012,0.508,0.673,0.003,0.035
480,0.041,0.095,0.242,0.493,0.945,0.002,0.619,0.724,0.004,0.038
490,0.047,0.147,0.118,0.592,0.812,0.002,0.711,0.744,0.006,0.046
500,0.062,0.175,0.04,0.695,0.623,0.008,0.755,0.713,0.01,0.058
510,0.089,0.26,0.007,0.82,0.431,0.01,0.737,0.594,0.014,0.077
520,0.129,0.401,0.002,0.937,0.268,0.015,0.693,0.386,0.016,0.108
530,0.183,0.44,0.004,0.998,0.153,0.027,0.629,0.173,0.022,0.151
540,0.254,0.225,0.005,0.991,0.084,0.044,0.513,0.064,0.034,0.206
550,0.346,0.053,0.007,0.906,0.048,0.069,0.376,0.018,0.057,0.272
560,0.457,0.016,0.007,0.741,0.028,0.103,0.201,0,0.088,0.348
570,0.58,0.006,0.007,0.538,0.017,0.148,0.102,0,0.12,0.432
580,0.705,0.008,0.006,0.354,0.012,0.198,0.046,0.006,0.147,0.52
590,0.822,0.008,0.005,0.204,0.009,0.248,0.029,0.01,0.177,0.612
600,0.917,0.006,0.004,0.095,0.01,0.338,0.023,0.011,0.242,0.692
610,0.979,0.004,0.003,0.047,0.011,0.477,0.02,0.01,0.359,0.727
620,0.994,0.005,0.002,0.035,0.014,0.622,0.019,0.008,0.483,0.677
630,0.883,0.01,0.003,0.029,0.016,0.599,0.018,0.008,0.553,0.545
640,0.633,0.015,0.004,0.024,0.014,0.39,0.017,0.008,0.432,0.375
650,0.443,0.018,0.005,0.021,0.01,0.19,0.017,0.007,0.243,0.228
660,0.262,0.016,0.006,0.02,0.006,0.082,0.017,0.006,0.098,0.124
670,0.098,0.013,0.006,0.02,0.003,0.03,0.017,0.005,0.043,0.062
680,0.042,0.011,0.003,0.021,0.004,0.016,0.017,0.006,0.048,0.032
690,0.028,0.01,0.01,0.02,0.003,0.009,0.016,0.016,0.011,0.015
700,0.014,0.01,0.01,0.02,0.003,0.009,0.016,0.006,0,0
710,0,0.01,0.01,0.02,0.003,0.009,0.016,0.006,0,0
720,0,0.01,0.01,0.02,0.003,0.009,0.016,0.006,0,0
730,0,0.01,0.01,0.02,0.003,0.009,0.016,0.006,0,0
740,0,0.01,0.01,0.02,0.003,0.009,0.016,0.006,0,0